,date,type,operator,fatalities,location,country,year
4,date unk.,Antonov An-12BP,Soviet AF,0.0,Massawa Airport ...,Eritrea,unknown
7,date unk.,Antonov An-2,Aeroflot,0.0,Chita region,Russia,unknown
9,date unk.,Antonov An-26,Soviet AF,0.0,Orenburg Air Base,Russia,unknown
10,date unk.,Antonov An-26,Russian AF,0.0,Belgorod Airport...,Russia,unknown
13,date unk.,Antonov An-2R,PZL-Mielec,0.0,Mielec,Poland,unknown
20,date unk.,Antonov An-32,Indian AF,0.0,Kalaikunda Air F...,India,unknown
22,date unk.,Avia 14,Balkan Bulgarian,0.0,Sofia-Vrazhdebna...,Bulgaria,unknown
25,date unk.,BN-2A Islander,MD Air Services,0.0,Nassau Internati...,Bahamas,unknown
40,date unk.,Douglas C-47A (DC-3),Unknown,0.0,within Bahamas,Bahamas,unknown
44,date unk.,Grumman G-159 Gulfstream I,JetPet,0.0,Nairobi-Wilson A...,Kenya,unknown
46,date unk.,Ilyushin Il-14T,"GUSMP, Directorate of Polar Aviation",0.0,Ice Station Koms...,Antarctica,unknown
49,date unk.,Ilyushin Il-76M,Soviet AF,0.0,Novokuznetsk Air...,Russia,unknown
50,date unk.,Ilyushin Il-76M,Soviet AF,0.0,Shadrinsk Air Base,Russia,unknown
51,date unk.,Ilyushin Il-76TD,Yemen AF,0.0,Sana'a Internati...,Yemen,unknown
52,date unk.,Ilyushin Il-78,Ukraine Air Force,0.0,Uzyn Air Base,Ukraine,unknown
58,date unk.,SNCASO S.O.94R Corse II,French Navy,0.0,within France,France,unknown
62,11-AUG-1919,Felixstowe Fury,RAF,1.0,near Felixtowe RNAS,U.K.,1919
63,23-FEB-1920,Handley Page O/7,Handley Page Transport,0.0,"Acadia Siding, C...",South Africa,1920
64,25-FEB-1920,Handley Page O/400,Handley Page Transport,0.0,near El Shereik,Sudan,1920
65,30-JUN-1920,Handley Page O/400,Handley Page Transport,0.0,AstanA,Sweden,1920
66,14-DEC-1920,Handley Page O/400,Handley Page Transport,4.0,Golders Green,U.K.,1920
68,02-MAR-1921,Handley Page O/7,HP Indo-Burmese Transport,0.0,Meerut,India,1921
70,26-AUG-1921,Farman F.60 Goliath,SNETA,2.0,near Calais [The Engl...,France,1921
71,27-SEP-1921,Farman F.60 Goliath,SNETA,0.0,Evere Airfield,Belgium,1921
72,27-SEP-1921,Farman F.60 Goliath,SNETA,0.0,Evere Airfield,Belgium,1921
74,22-JAN-1922,Handley Page O/10,Handley Page Transport,0.0,near Senlis,France,1922
76,07-APR-1922,Farman F.60 Goliath,Grands Express AAriens,5.0,Thieuloy-Saint-A...,France,1922
78,14-MAY-1923,Farman F.60 Goliath,Air Union,6.0,"Monsures, Somme",France,1923
79,25-JUN-1923,Farman F.60 Goliath,Air Union,0.0,near Ataples,France,1923
80,10-JUL-1923,Handley Page W.8,Handley Page Transport,0.0,Poix,France,1923
81,15-JUL-1923,Farman F.60 Goliath,Compagnie AArienne FranAaise,0.0,near Valenciennes,France,1923
82,27-AUG-1923,Farman F.60 Goliath,Air Union,1.0,"East Malling, Kent",U.K.,1923
86,06-AUG-1924,Farman F.60 Goliath,Air Union,0.0,"Golden Green, ne...",U.K.,1924
87,24-AUG-1924,Farman F.61 Goliath,SGTA,0.0,near Amsterdam-Schiph...,Netherlands,1924
88,16-OCT-1925,Farman F.60 Goliath,Air Union,3.0,"Wadhurst, East S...",U.K.,1925
89,14-NOV-1925,Farman F.60 Goliath,Air Union,0.0,near Boulogne [Englis...,France,1925
90,18-AUG-1926,BlAriot 155,Air Union,4.0,"Hurst, near Ashf...",U.K.,1926
91,02-OCT-1926,BlAriot 155,Air Union,7.0,"Leigh, Kent",U.K.,1926
92,21-OCT-1926,Handley Page W.10,Imperial Airways,0.0,English Channel,U.K.,1926
94,05-MAY-1927,Farman F.61 Goliath,SGTA,2.0,Atlantic Ocean,Atlantic Ocean,1927
95,22-AUG-1927,Fokker F.VIII,KLM,1.0,"St. Julians, Sev...",U.K.,1927
